6,7,9,15,17,20,21,23
1,3,5,11,14,17,22,23
1,5,6,7,8,15,23,24
3,5,6,7,10,12,17,19
1,5,9,12,13,14,19,21
1,2,6,7,14,15,19,21
4,6,8,9,12,16,20,21
3,7,13,14,15,17,19,21
1,8,10,12,13,16,17,19
6,8,10,15,17,18,20,24
3,4,8,10,13,14,18,21
1,2,8,10,11,12,13,15
1,2,3,10,11,14,15,16
2,4,6,16,18,19,20,24
3,5,6,15,19,20,22,23
2,3,4,7,9,11,13,22
3,6,9,11,13,17,20,24
5,7,9,10,20,21,22,24
6,9,11,14,19,22,23,24
1,8,14,15,16,21,22,23
1,2,3,7,9,10,12,22
9,12,13,14,16,21,22,23
1,2,13,17,18,21,23,24
5,8,11,14,16,18,20,21
1,7,10,15,16,19,22,23
1,4,7,8,13,14,15,21
1,3,12,13,16,18,21,23
4,6,8,13,18,22,23,24
1,2,3,4,11,13,20,23
2,3,5,6,8,14,15,17
4,7,10,12,16,18,22,23
2,3,5,8,12,16,23,24
1,3,5,8,15,16,21,22
2,4,7,13,14,15,19,23
1,9,11,14,15,17,21,22
5,7,9,11,13,14,20,24
3,6,10,11,17,18,20,21
3,5,7,12,18,19,21,22
2,5,7,17,18,19,21,23
5,7,10,11,13,14,18,21
2,6,9,12,13,16,20,21
11,14,15,19,20,21,22,23
1,4,5,8,11,16,18,20
4,8,9,11,17,18,20,23
1,4,6,8,9,15,18,24
2,3,4,7,10,19,22,23
1,5,8,9,10,17,19,20
1,6,8,10,15,18,21,23
2,3,5,6,8,10,13,18
2,4,9,19,20,22,23,24
5,8,11,12,14,16,19,22
1,3,5,12,15,17,19,24
1,2,3,4,6,7,15,17
4,5,9,11,12,14,16,20
1,3,5,6,16,18,19,21
6,7,9,11,12,13,21,22
1,3,8,12,18,19,21,24
4,8,9,16,19,20,21,23
1,2,8,11,14,15,20,22
1,2,3,4,6,10,17,24
1,2,4,5,10,11,16,19
2,3,8,9,10,11,17,24
2,6,7,11,16,18,21,24
4,10,12,13,14,17,22,23
